dataset,run_id,psi_entries,num_pa_pairs,num_supported,frac_singly_observed,mean_support,median_support,max_support,rcd_raw,rcd_supported,rcd_weighted
g2p/geo,jtdov1jn,10664,1664,1206,0.27524038461538464,6.408653846153846,3.0,92,0.07151442307692307,0.09867330016583747,0.1388888888888889
g2p/fre,6okg216x,14263,3164,1995,0.3694690265486726,4.507901390644753,2.0,214,0.32079646017699115,0.5087719298245614,0.6382556987115956
g2p/dut,yj614phc,28257,12851,4417,0.6562913391953934,2.198817212668275,1,1227,0.09244416776904521,0.26896083314466834,0.3686875243411658
histnorm/deu,x57e3mo2,60973,26407,5077,0.8077403718710948,2.308971106146098,1,6363,0.05472033930397243,0.2846168997439433,0.5404443672973442
